Date,State,Type,Cases
3/18/2020,N. Mariana Islands,Confirmed,0
3/18/2020,N. Mariana Islands,Deaths,0
3/18/2020,N. Mariana Islands,Recovered,0
3/19/2020,N. Mariana Islands,Confirmed,0
3/19/2020,N. Mariana Islands,Deaths,0
3/19/2020,N. Mariana Islands,Recovered,0
3/20/2020,N. Mariana Islands,Confirmed,0
3/20/2020,N. Mariana Islands,Deaths,0
3/20/2020,N. Mariana Islands,Recovered,0
3/21/2020,N. Mariana Islands,Confirmed,0
3/21/2020,N. Mariana Islands,Deaths,0
3/21/2020,N. Mariana Islands,Recovered,0
3/22/2020,N. Mariana Islands,Confirmed,0
3/22/2020,N. Mariana Islands,Deaths,0
3/22/2020,N. Mariana Islands,Recovered,0
3/17/2020,Nebraska,Confirmed,14
3/17/2020,Nebraska,Deaths,0
3/17/2020,Nebraska,Recovered,0
3/18/2020,Nebraska,Confirmed,24
3/18/2020,Nebraska,Deaths,0
3/18/2020,Nebraska,Recovered,0
3/19/2020,Nebraska,Confirmed,29
3/19/2020,Nebraska,Deaths,0
3/19/2020,Nebraska,Recovered,0
3/20/2020,Nebraska,Confirmed,37
3/20/2020,Nebraska,Deaths,0
3/20/2020,Nebraska,Recovered,0
3/21/2020,Nebraska,Confirmed,37
3/21/2020,Nebraska,Deaths,0
3/21/2020,Nebraska,Recovered,0
3/22/2020,Nebraska,Confirmed,37
3/22/2020,Nebraska,Deaths,0
3/22/2020,Nebraska,Recovered,0
3/17/2020,Nevada,Confirmed,19
3/17/2020,Nevada,Deaths,0
3/17/2020,Nevada,Recovered,0
3/18/2020,Nevada,Confirmed,55
3/18/2020,Nevada,Deaths,1
3/18/2020,Nevada,Recovered,0
3/19/2020,Nevada,Confirmed,95
3/19/2020,Nevada,Deaths,1
3/19/2020,Nevada,Recovered,0
3/20/2020,Nevada,Confirmed,109
3/20/2020,Nevada,Deaths,2
3/20/2020,Nevada,Recovered,0
3/21/2020,Nevada,Confirmed,109
3/21/2020,Nevada,Deaths,2
3/21/2020,Nevada,Recovered,0
3/22/2020,Nevada,Confirmed,109
3/22/2020,Nevada,Deaths,2
3/22/2020,Nevada,Recovered,0
3/17/2020,New Hampshire,Confirmed,7
3/17/2020,New Hampshire,Deaths,0
3/17/2020,New Hampshire,Recovered,0
3/18/2020,New Hampshire,Confirmed,26
3/18/2020,New Hampshire,Deaths,0
3/18/2020,New Hampshire,Recovered,0
3/19/2020,New Hampshire,Confirmed,44
3/19/2020,New Hampshire,Deaths,0
3/19/2020,New Hampshire,Recovered,0
3/20/2020,New Hampshire,Confirmed,56
3/20/2020,New Hampshire,Deaths,0
3/20/2020,New Hampshire,Recovered,0
3/21/2020,New Hampshire,Confirmed,56
3/21/2020,New Hampshire,Deaths,0
3/21/2020,New Hampshire,Recovered,0
3/22/2020,New Hampshire,Confirmed,56
3/22/2020,New Hampshire,Deaths,0
3/22/2020,New Hampshire,Recovered,0
3/17/2020,New Jersey,Confirmed,178
3/17/2020,New Jersey,Deaths,3
3/17/2020,New Jersey,Recovered,1
3/18/2020,New Jersey,Confirmed,427
3/18/2020,New Jersey,Deaths,5
3/18/2020,New Jersey,Recovered,1
3/19/2020,New Jersey,Confirmed,742
3/19/2020,New Jersey,Deaths,9
