Date,Country,Type,Cases
3/21/2020,Argentina,Confirmed,158
3/21/2020,Argentina,Deaths,3
3/21/2020,Argentina,Critical,N/A
3/21/2020,Argentina,Recovered,N/A
3/22/2020,Argentina,Confirmed,266
3/22/2020,Argentina,Deaths,4
3/22/2020,Argentina,Critical,N/A
3/22/2020,Argentina,Recovered,N/A
3/17/2020,Armenia,Confirmed,52
3/17/2020,Armenia,Deaths,0
3/17/2020,Armenia,Critical,
3/17/2020,Armenia,Recovered,1
3/18/2020,Armenia,Confirmed,78
3/18/2020,Armenia,Deaths,0
3/18/2020,Armenia,Critical,
3/18/2020,Armenia,Recovered,1
3/19/2020,Armenia,Confirmed,115
3/19/2020,Armenia,Deaths,0
3/19/2020,Armenia,Critical,0
3/19/2020,Armenia,Recovered,1
3/20/2020,Armenia,Confirmed,136
3/20/2020,Armenia,Deaths,0
3/20/2020,Armenia,Critical,0
3/20/2020,Armenia,Recovered,1
3/21/2020,Armenia,Confirmed,160
3/21/2020,Armenia,Deaths,0
3/21/2020,Armenia,Critical,0
3/21/2020,Armenia,Recovered,1
3/22/2020,Armenia,Confirmed,190
3/22/2020,Armenia,Deaths,0
3/22/2020,Armenia,Critical,0
3/22/2020,Armenia,Recovered,2
3/19/2020,Aruba,Confirmed,4
3/19/2020,Aruba,Deaths,0
3/19/2020,Aruba,Critical,
3/19/2020,Aruba,Recovered,
3/20/2020,Aruba,Confirmed,5
3/20/2020,Aruba,Deaths,0
3/20/2020,Aruba,Critical,0
3/20/2020,Aruba,Recovered,1
3/21/2020,Aruba,Confirmed,5
3/21/2020,Aruba,Deaths,0
3/21/2020,Aruba,Critical,N/A
3/21/2020,Aruba,Recovered,1
3/22/2020,Aruba,Confirmed,5
3/22/2020,Aruba,Deaths,0
3/22/2020,Aruba,Critical,N/A
3/22/2020,Aruba,Recovered,1
3/17/2020,Australia,Confirmed,456
3/17/2020,Australia,Deaths,5
3/17/2020,Australia,Critical,
3/17/2020,Australia,Recovered,27
3/18/2020,Australia,Confirmed,568
3/18/2020,Australia,Deaths,6
3/18/2020,Australia,Critical,
3/18/2020,Australia,Recovered,27
3/19/2020,Australia,Confirmed,710
3/19/2020,Australia,Deaths,6
3/19/2020,Australia,Critical,
3/19/2020,Australia,Recovered,27
3/20/2020,Australia,Confirmed,877
3/20/2020,Australia,Deaths,7
3/20/2020,Australia,Critical,0
3/20/2020,Australia,Recovered,52
3/21/2020,Australia,Confirmed,1237
3/21/2020,Australia,Deaths,7
3/21/2020,Australia,Critical,N/A
3/21/2020,Australia,Recovered,73
3/22/2020,Australia,Confirmed,1549
3/22/2020,Australia,Deaths,7
3/22/2020,Australia,Critical,N/A
3/22/2020,Australia,Recovered,92
3/17/2020,Austria,Confirmed,1332
3/17/2020,Austria,Deaths,3
3/17/2020,Austria,Critical,
3/17/2020,Austria,Recovered,9
3/18/2020,Austria,Confirmed,1471
3/18/2020,Austria,Deaths,3
3/18/2020,Austria,Critical,
3/18/2020,Austria,Recovered,9
3/19/2020,Austria,Confirmed,2013
3/19/2020,Austria,Deaths,7
3/19/2020,Austria,Critical,
3/19/2020,Austria,Recovered,9
3/20/2020,Austria,Confirmed,2203
3/20/2020,Austria,Deaths,7
3/20/2020,Austria,Critical,0
3/20/2020,Austria,Recovered,9
3/21/2020,Austria,Confirmed,2814
3/21/2020,Austria,Deaths,11
3/21/2020,Austria,Critical,N/A
3/21/2020,Austria,Recovered,9
3/22/2020,Austria,Confirmed,3244
3/22/2020,Austria,Deaths,16
3/22/2020,Austria,Critical,N/A
3/22/2020,Austria,Recovered,9
3/17/2020,Azerbaijan,Confirmed,28
3/17/2020,Azerbaijan,Deaths,1
3/17/2020,Azerbaijan,Critical,
3/17/2020,Azerbaijan,Recovered,3
3/18/2020,Azerbaijan,Confirmed,30
3/18/2020,Azerbaijan,Deaths,1
3/18/2020,Azerbaijan,Critical,
3/18/2020,Azerbaijan,Recovered,7
3/19/2020,Azerbaijan,Confirmed,34
3/19/2020,Azerbaijan,Deaths,1
3/19/2020,Azerbaijan,Critical,
3/19/2020,Azerbaijan,Recovered,10
3/20/2020,Azerbaijan,Confirmed,44
3/20/2020,Azerbaijan,Deaths,1
3/20/2020,Azerbaijan,Critical,0
3/20/2020,Azerbaijan,Recovered,10
3/21/2020,Azerbaijan,Confirmed,44
3/21/2020,Azerbaijan,Deaths,1
3/21/2020,Azerbaijan,Critical,N/A
3/21/2020,Azerbaijan,Recovered,10
3/22/2020,Azerbaijan,Confirmed,44
3/22/2020,Azerbaijan,Deaths,1
3/22/2020,Azerbaijan,Critical,N/A
3/22/2020,Azerbaijan,Recovered,10
3/17/2020,Bahamas,Confirmed,1
3/17/2020,Bahamas,Deaths,0
3/17/2020,Bahamas,Critical,
3/17/2020,Bahamas,Recovered,
3/18/2020,Bahamas,Confirmed,3
3/18/2020,Bahamas,Deaths,0
3/18/2020,Bahamas,Critical,
3/18/2020,Bahamas,Recovered,
3/19/2020,Bahamas,Confirmed,3
3/19/2020,Bahamas,Deaths,0
