Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/18/20,Hawaii,16,2,14,4.9,8,4.9,0,0,0,,0,,,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Hawaii,26,10,2,1.1,6,1.9,0,0,0,,0,,,0,0,0,26,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Hawaii,37,11,10,1.7,10.5,1.7,0,0,0,,0,,,0,0,0,37,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Hawaii,48,11,11,2.4,11,2.4,0,0,0,,0,,,0,0,0,48,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Hawaii,56,8,11,4.2,9.5,3.5,0,0,0,,,,,0,0,0,56,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Idaho,9,9,0,1.0,9,1.0,0,0,0,1.0,0,1.0,,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Idaho,9,0,9,,4.5,,0,0,0,,0,,,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Idaho,23,14,0,0.4,7,0.9,0,0,0,,0,,,0,0,0,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Idaho,31,8,14,2.0,11,1.5,0,0,0,,0,,,0,0,0,31,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Idaho,42,11,8,2.0,9.5,2.3,0,0,0,,0,,,0,0,0,42,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Idaho,42,0,11,2.7,9.5,3.1,0,0,0,,,,,0,0,0,42,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Illinois,160,160,0,1.0,160,1.0,1,1,0,1.0,1,1.0,2,0,0,0,157,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Illinois,288,128,160,0.9,144,0.9,1,0,1,,0.5,,2,0,0,0,285,2,2,2,1,0,2,0,0,0,0,0,0,0,0,1
