Date,Country,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/22/2020,Belarus,76,0,0,,0,,0,0,0,,0,,15,0,0,0,61,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1
3/23/2020,Belarus,81,5,0,8.5,2.5,17.1,0,0,0,,,,22,0,0,0,59,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Belgium,1486,1486,0,1.0,1486,1.0,14,14,0,1.0,14,1.0,14,33,33,33,1458,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0
3/18/20,Belgium,1795,309,1486,3.3,897.5,3.3,21,7,14,1.4,10.5,1.4,31,33,33,33,1743,2,2,2,2,2,2,2,0,0,0,2,2,0,0,1
3/18/20,Belgium,1795,0,309,,154.5,7.9,21,0,7,,3.5,4.2,31,33,33,33,1743,3,3,3,3,3,3,3,0,0,0,3,3,0,0,1
3/19/2020,Belgium,2257,462,0,2.6,231,5.3,37,16,0,0.9,8,1.8,165,130,130,81.5,2055,4,4,4,4,4,4,4,0,0,0,4,4,1,0,1
3/20/2020,Belgium,2815,558,462,2.6,510,2.8,67,30,16,0.9,23,1.1,204,164,164,147,2544,5,5,5,5,5,5,5,0,0,0,5,5,2,0,1
3/21/2020,Belgium,3401,586,558,3.0,572,3.1,75,8,30,5.9,19,2.5,263,288,288,226,3063,6,6,6,6,6,6,6,0,0,0,6,6,3,1,1
3/22/2020,Belgium,3401,0,586,,293,7.3,75,0,8,,4,13.1,263,288,288,288,3063,7,7,7,7,7,7,7,0,0,0,7,7,4,2,1
3/23/2020,Belgium,3743,342,0,6.3,171,12.5,88,13,0,4.0,6.5,8.1,401,322,322,305,3254,8,8,8,8,8,8,8,0,0,0,8,8,5,3,1
3/17/20,Benin,2,2,0,1.0,2,1.0,0,0,0,1.0,0,1.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Benin,2,0,2,,1,,0,0,0,,0,,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/18/20,Benin,2,0,0,,0,,0,0,0,,0,,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Benin,2,0,0,,0,,0,0,0,,0,,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
