Date,Country,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000
3/19/2020,Macau,17,0,4,,2,6.0,0,0,0,,0,,10,7,3,3,0,0,0,0,0,0,0,0
3/20/2020,Macau,17,0,0,,0,,0,0,0,,0,,10,7,4,4,0,0,0,0,0,0,0,0
3/21/2020,Macau,17,0,0,,0,,0,0,0,,0,,10,7,5,5,0,0,0,0,0,0,0,0
3/22/2020,Macau,19,2,0,2.5,1,4.9,0,0,0,,,,10,9,6,6,0,0,0,0,0,0,0,0
3/20/2020,Madagascar,3,3,0,1.0,3,1.0,0,0,0,1.0,0,1.0,0,3,1,0,0,0,0,0,0,0,0,0
3/21/2020,Madagascar,3,0,3,,1.5,,0,0,0,,0,,0,3,2,0,0,0,0,0,0,0,0,0
3/22/2020,Madagascar,3,0,0,,1.5,1.4,0,0,0,,,,0,3,3,0,0,0,0,0,0,0,0,0
3/20/2020,Mainland China,"81,008","81,008",0,1.0,"81,008",1.0,"3,255","3,255",0,1.0,"3,255",1.0,"71,740",6013,1,1,1,1,1,1,1,1,1,1
3/17/20,Malaysia,673,673,0,1.0,673,1.0,2,2,0,1.0,2,1.0,49,622,1,1,1,1,0,1,0,0,0,0
3/18/20,Malaysia,790,117,673,3.7,395,3.7,2,0,2,,1,,,788,2,2,2,2,0,2,0,0,0,0
3/19/2020,Malaysia,900,110,117,5.0,113.5,4.9,2,0,0,,0,,75,823,3,3,3,3,0,3,0,0,0,0
3/20/2020,Malaysia,1030,130,110,4.4,120,4.8,3,1,0,1.4,0.5,2.8,87,940,4,4,4,4,1,4,0,0,0,0
3/21/2020,Malaysia,"1,183",153,130,4.3,141.5,4.7,8,5,1,0.4,3,0.7,114,1061,5,5,5,5,2,5,1,0,0,0
3/22/2020,Malaysia,"1,306",123,153,6.0,138,5.4,10,2,5,2.8,3.5,1.6,139,1157,6,6,6,6,3,6,2,0,0,0
3/17/20,Maldives,13,13,0,1.0,13,1.0,0,0,0,1.0,0,1.0,0,13,1,1,0,0,0,0,0,0,0,0
3/18/20,Maldives,13,0,13,,6.5,,0,0,0,,0,,,13,2,2,0,0,0,0,0,0,0,0
3/19/2020,Maldives,13,0,0,,0,,0,0,0,,0,,0,13,3,3,0,0,0,0,0,0,0,0
3/20/2020,Maldives,13,0,0,,0,,0,0,0,,0,,0,13,4,4,0,0,0,0,0,0,0,0
3/21/2020,Maldives,13,0,0,,0,,0,0,0,,0,,2,11,5,5,0,0,0,0,0,0,0,0
3/22/2020,Maldives,13,0,0,,0,,0,0,0,,,,2,11,6,6,0,0,0,0,0,0,0,0
3/17/20,Malta,38,38,0,1.0,38,1.0,0,0,0,1.0,0,1.0,2,36,1,1,0,0,0,0,0,0,0,0
3/18/20,Malta,48,10,38,2.5,24,2.5,0,0,0,,0,,,48,2,2,0,0,0,0,0,0,0,0
3/19/2020,Malta,53,5,10,6.7,7.5,4.5,0,0,0,,0,,2,51,3,3,0,0,0,0,0,0,0,0
3/20/2020,Malta,64,11,5,3.2,8,4.5,0,0,0,,0,,2,62,4,4,0,0,0,0,0,0,0,0
3/21/2020,Malta,73,9,11,4.8,10,4.3,0,0,0,,0,,2,71,5,5,0,0,0,0,0,0,0,0
